File,Authors
doc/Type/X/Method/NotFound.pod6, 2
util/travis-test.sh, 1
lib/Type/X/NYI.pod, 3
doc/Type/X/Constructor/Positional.pod6, 3
doc/Type/Whatever.pod6, 10
lib/Type/X/Method/NotFound.pod, 2
doc/Language/control.pod6, 16
doc/Type/nativeInt.pod, 1
lib/Type/X/Syntax/Comment/Embedded.pod, 2
lib/Type/X/Syntax/InfixInTermPosition.pod, 2
lib/Cool.pod, 4
lib/Int.pod, 5
doc/Type/QuantHash.pod6, 2
doc/Type/Bool.pod, 1
html/css/style.css, 9
lib/Macro.pod, 1
lib/X/TypeCheck/MacroUnquote.pod, 1
doc/Programs/03-hacking.pod, 2
WANTED, 16
doc/Type/IntStr.pod6, 6
sync, 1
doc/Type/X/IO/Cwd.pod6, 2
doc/Language/modules.pod, 22
html/css/custom-theme/images/ui-bg_highlight-soft_75_f5e47b_1x100.png, 2
doc/Type/X/Syntax/Augment/WithoutMonkeyTyping.pod6, 3
lib/Language/io.pod, 3
lib/Type/X/Syntax/Variable/Twigil.pod, 2
doc/Language/temporal.pod6, 3
doc/Type/X/Declaration/Scope/Multi.pod, 1
lib/Type/List.pod, 9
t/01-load.t, 1
doc/Type/X/Method/NotFound.pod, 1
doc/Type/X/IO/Mkdir.pod6, 2
doc/Type/X/Syntax/Number/RadixOutOfRange.pod, 1
lib/Type/Routine.pod, 4
lib/Type/Duration.pod, 2
lib/X/Anon/Multi.pod, 1
lib/Real.pod, 3
doc/Type/Metamodel/MROBasedMethodDispatch.pod6, 4
assets/js/jquery-3.1.1.min.js, 1
doc/Type/X/Sequence/Deduction.pod, 1
doc/Type/X/Undeclared.pod, 1
doc/Language/control.pod, 14
doc/Language/rb-nutshell.pod, 2
t/06-pod-htmlify.t, 1
doc/Type/IO/Path/Unix.pod6, 2
doc/Type/Match.pod6, 7
lib/Type/Junction.pod, 4
doc/Type/Baggy.pod, 4
sketch/app.pl, 1
doc/Type/Metamodel/Trusting.pod6, 2
doc/Type/X/TypeCheck.pod, 1
lib/X/ControlFlow.pod, 1
lib/X/Syntax/Self/WithoutObject.pod, 1
doc/Type/X/Proc/Async/CharsOrBytes.pod6, 3
lib/Positional.pod, 3
lib/X/IO/Chdir.pod, 1
sketch/html/images/camelia-small.png, 1
doc/404.pod, 2
doc/Type/X/IO/Link.pod6, 3
html/js/sift4-common.js, 2
lib/Perl6/TypeGraph/Viz.pm, 12
doc/Type/Mix.pod6, 7
html/css/custom-theme/images/ui-bg_glass_45_80b5ff_1x400.png, 2
lib/Language/variables.pod, 11
lib/Bag.pod, 1
assets/js/main.js, 2
doc/Type/X/TypeCheck/Splice.pod6, 3
doc/Type/Backtrace/Frame.pod, 1
doc/Language/classtut.pod, 13
doc/Type/IO/Notification.pod, 3
doc/Type/X/Export/NameClash.pod6, 2
lib/Type/Iterable.pod, 6
template/index_head.html, 1
highlights/package.json, 2
t/07-tabs.t, 1
doc/Language/list.pod6, 14
doc/Language/testing.pod6, 15
lib/Type/X/Package/Stubbed.pod, 2
doc/Type/Bag.pod6, 8
doc/Type/X/ControlFlow/Return.pod, 1
doc/Language/syntax.pod, 10
html/images/camelia-small.png, 2
lib/X/Package/Stubbed.pod, 1
lib/X/Syntax/Augment/WithoutMonkeyTyping.pod, 1
doc/Type/Proc.pod6, 16
xt/double-dots.t, 2
doc/Type/Metamodel/MROBasedMethodDispatch.pod, 1
template/index-content.html, 1
doc/Type/Lock.pod, 3
lib/Language/modules.pod, 6
lib/X/Syntax.pod, 1
doc/Type/IO/Special.pod6, 5
lib/Type/X/Anon/Augment.pod, 3
lib/Language/about.pod, 3
xt/trailing_whitespace.t, 1
lib/Type/IO/Pipe.pod, 2
lib/Type/X/TypeCheck/Assignment.pod, 2
lib/Type/X/TypeCheck/Splice.pod, 2
html/css/custom-theme/images/ui-icons_63a4ff_256x240.png, 2
doc/Type/Cancellation.pod6, 3
html/css/custom-theme/jquery-ui.css, 1
doc/Type/IO/Socket/INET.pod6, 7
lib/Type/X/Syntax/Signature/InvocantMarker.pod, 2
doc/Type/Proc/Async.pod6, 14
lib/Language/operators.pod, 12
doc/Type/X/Eval/NoSuchLang.pod6, 3
lib/Type/Pod/Item.pod, 2
doc/Type/Telemetry/Instrument/Threadpool.pod6, 2
lib/Type/Callable.pod, 3
sketch/html/css/custom-theme/images/ui-icons_e13755_256x240.png, 1
doc/Language/5to6-perlop.pod, 8
doc/Type/X/ControlFlow/Return.pod6, 2
doc/Type/Supply.pod, 12
lib/Type/Slip.pod, 1
lib/Type/Mix.pod, 2
lib/X/Syntax/Variable/Numeric.pod, 1
doc/Type/X/Composition/NotComposable.pod6, 2
lib/Type/Metamodel/MethodContainer.pod, 3
doc/Type/Telemetry/snapper.pod6, 1
doc/Type/Backtrace/Frame.pod6, 3
lib/Type/Backtrace.pod, 4
doc/Type/Block.pod6, 4
lib/Type/Enum.pod, 3
lib/IO.pod, 4
doc/Type/Callable.pod6, 11
html/images/Camelia-faded.svg, 3
doc/Language/exceptions.pod, 5
doc/Type/Sub.pod, 1
lib/Type/X/Temporal.pod, 2
lib/MixHash.pod, 1
doc/Language/testing.pod, 15
doc/Type/X/Syntax/Comment/Embedded.pod6, 2
html/.htaccess, 8
lib/Match.pod, 4
index_head.html, 1
t/pod6.t, 3
lib/Type/Real.pod, 3
lib/Type/X/IO/Unlink.pod, 3
doc/Type/Complex.pod, 3
doc/Type/nativeInt.pod6, 3
doc/Type/X/DateTime/TimezoneClash.pod, 1
bin/p6doc.bat, 2
doc/Type/X/Syntax/Malformed.pod, 1
doc/Type/Nil.pod, 7
doc/Language/concurrency.pod6, 13
t/tabs.t, 2
doc/Type/Sub.pod6, 8
lib/Type/IO/Spec.pod, 1
doc/Type/RatStr.pod, 4
lib/Type/X/Undeclared.pod, 2
doc/Type/Perl.pod6, 3
doc/Type/Code.pod, 5
lib/Language/quoting.pod, 3
html-files/favicon.ico, 1
html/style.css, 2
doc/Language/mop.pod, 5
t/05-pod-convenience.t, 1
doc/Type/Associative.pod, 2
doc/Type/Label.pod, 1
html/js/jquery-ui-1.8.21.custom.min.js, 2
lib/Attribute.pod, 1
predefined-search-items, 4
doc/Type/Code.pod6, 6
lib/Type/X/Signature/Placeholder.pod, 2
lib/Type/Stash.pod, 2
lib/Type/X/ControlFlow/Return.pod, 2
doc/Type/Pod/Block/Para.pod, 1
search_template.js, 1
doc/Type/X/Attribute/NoPackage.pod6, 2
lib/Type/Whatever.pod, 4
lib/Type/Metamodel/Naming.pod, 2
lib/X/IO/Rename.pod, 1
lib/Language/5to6-perlfunc.pod, 2
sketch/html/css/custom-theme/images/ui-bg_glass_45_80b5ff_1x400.png, 1
lib/Type/Pod/Block/Para.pod, 2
html/js/DUMMY.txt, 1
lib/Type/Match.pod, 5
doc/Language/faq.pod, 24
writing-docs/STYLEGUIDE.md, 4
lib/Language/concurrency.pod, 4
lib/Type/Instant.pod, 2
doc/Type/Iterable.pod6, 11
doc/Type/X/Syntax/Regex/Adverb.pod, 1
lib/perlvar.pod, 2
