File,Entropy,Authors,Size
src/core/RaceSeq.pm6,0.6931471805599453,2,1455
t/01-sanity/03-op-logic.t,1.0986122886681096,3,525
docs/announce/2010.06,0.5004024235381879,2,3004
docs/announce/2009-08,1.2130075659799042,4,3697
docs/announce/2010.04,0.5004024235381879,2,2287
src/core/Rakudo/Internals/HyperToIterator.pm6,0.37677016125643675,2,3656
src/core/Grammar.pm6,0,1,2117
t/09-moar/NAME__UnicodeData.t,0,1,499
docs/announce/2013.09.md,0,1,2973
t/04-nativecall/14-rw-attrs.t,0.410116318288409,2,1653
t/01-sanity/19-say.t,0.5623351446188083,2,503
t/spectest.data,2.289299314687477,55,35798
src/core/CompUnit/Repository/AbsolutePath.pm6,0.6931471805599453,2,1653
docs/announce/2011.05,0,1,1918
src/Perl6/Metamodel/AttributeContainer.nqp,0.6365141682948128,2,2691
src/core/Awaitable.pm6,0.6931471805599453,2,1887
src/core/Process.pm6,0,1,3012
t/09-moar/Line_Break__LineBreak.t,0,1,499
src/core/CompUnit/Handle.pm6,0,1,2491
src/core/Version.pm6,0,1,8456
t/05-messages/v6.d-tests/01-errors.t,0,1,240
t/02-rakudo/12-proto-arity-count.t,0,1,7761
src/core/Proc/Async.pm6,0,1,15586
src/core/Hash.pm6,0.7356219397587946,3,31238
t/04-nativecall/CompileTestLib.pm6,0,1,2322
t/04-nativecall/07-writebarrier.t,0.5982695885852573,2,1404
src/core/Encoding/Builtin.pm6,0.6365141682948128,2,1684
t/01-sanity/99-test-basic.t,1.7481554572476763,7,3598
t/02-rakudo/dd.t,0,1,318
t/02-rakudo/repl.t,1.6012583669784999,10,9883
t/04-nativecall/13-union.t,0.9556998911125343,3,4007
src/core/Sub.pm6,0,1,101
src/core/Num.pm6,0.6931471805599453,2,17161
src/core/traits.pm6,0.7963116401738131,3,18481
t/02-rakudo/05-range-in-range.t,0,1,613
src/core/Env.pm6,0,1,251
src/core/Rakudo/Sorting.pm6,0.6931471805599453,2,23000
src/core/Main.pm6,0,1,9124
src/core/Routine.pm6,0,1,3528
src/Perl6/Metamodel/ConcreteRoleHOW.nqp,0.45056120886630463,2,3632
tools/install-dist.pl,0.639031859650177,3,2791
docs/announce/2009-03,0,1,2569
docs/announce/2010.07,1.1490596969706202,4,2936
t/02-rakudo/08-repeat.t,0,1,745
docs/announce/2017.04.3.md,0.6931471805599453,2,3640
src/core/Compiler.pm6,0.6931471805599453,2,2920
,2.8124395971519767,269,4096
t/04-nativecall/22-method.t,0,1,573
src/core/Rakudo/Internals/HyperPipeline.pm6,0.6931471805599453,2,4469
tools/build/jvm_core_sources,1.1564958297630492,6,5484
src/core/Encoding/Decoder.pm6,0,1,588
src/Perl6/Metamodel/REPRComposeProtocol.nqp,1.3296613488547582,4,3023
src/core/CompUnit/Repository/Installable.pm6,0,1,468
src/core/set_operators.pm6,0,1,361
docs/announce/2009-12,1.3321790402101223,4,3782
src/core/VM.pm6,0,1,3618
src/Perl6/Metamodel/RoleContainer.nqp,0.6931471805599453,2,238
t/01-sanity/06-op-inplace.t,1.0986122886681096,3,1059
t/01-sanity/10-regex.t,1.0986122886681096,3,436
src/core/precedence.pm6,0,1,10085
src/core/set_union.pm6,0,1,6312
docs/announce/2016.08.md,0,1,8403
tools/CREDITS.p6,0,1,1237
src/vm/jvm/Perl6/Ops.nqp,0.8399103811433399,6,14396
src/core/Shaped1Array.pm6,0,1,10180
